id,name,country,birthday,weight,height,hand,backhand,turnedPro
wanaro-n'godrella/n045,Wanaro N'Godrella,FRA,1949-10-19,NaN,NaN,right,unknown,NaN
haroon-rahim/r063,Haroon Rahim,PAK,1949-11-12,NaN,NaN,right,unknown,NaN
vladimir-zednik/z023,Vladimir Zednik,CZE,1947-02-01,NaN,NaN,right,unknown,NaN
jeff-simpson/s123,Jeff Simpson,NZL,1950-10-29,NaN,NaN,right,unknown,NaN
john-paish/p142,John Paish,GBR,1948-03-25,NaN,NaN,left,unknown,NaN
jun-kamiwazumi/k002,Jun Kamiwazumi,JPN,1947-10-01,NaN,NaN,right,unknown,NaN
jim-mcmanus/m144,Jim McManus,USA,1940-09-16,71,175,left,unknown,1968
butch-seewagen/s139,Butch Seewagen,USA,1946-06-13,79,188,right,unknown,NaN
paul-kronk/k073,Paul Kronk,AUS,1954-09-22,NaN,NaN,right,unknown,NaN
dick-dell/d073,Dick Dell,USA,1947-09-29,NaN,NaN,right,unknown,NaN
patricio-cornejo/c088,Patricio Cornejo,CHI,1944-06-06,75,180,right,unknown,NaN
john-lloyd/l036,John Lloyd,GBR,1954-08-27,75,178,right,unknown,NaN
thomaz-koch/k036,Thomaz Koch,BRA,1945-05-11,NaN,NaN,left,unknown,NaN
tony-roche/r073,Tony Roche,AUS,1945-05-17,79,178,left,unknown,NaN
billy-martin/m138,Billy Martin,USA,1956-12-25,86,178,right,unknown,1975
balazs-taroczy/t007,Balazs Taroczy,HUN,1954-05-09,77,183,right,unknown,NaN
vitas-gerulaitis/g008,Vitas Gerulaitis,USA,1954-07-26,70,183,right,unknown,NaN
kim-warwick/w006,Kim Warwick,AUS,1952-04-08,77,183,right,unknown,NaN
john-yuill/y008,John Yuill,RSA,1948-12-12,NaN,NaN,right,unknown,NaN
sandy-mayer/m039,Sandy Mayer,USA,1952-04-05,70,178,right,unknown,NaN
bob-hewitt/h058,Bob Hewitt,RSA,1940-01-12,93,191,right,unknown,NaN
marcelo-lara/l057,Marcelo Lara,MEX,1947-10-05,NaN,NaN,right,unknown,NaN
roger-dowdeswell/d081,Roger Dowdeswell,ZIM,1944-02-16,NaN,NaN,right,unknown,NaN
jairo-velasco-sr/v294,Jairo Velasco Sr,COL,1947-05-09,66,173,right,unknown,NaN
ray-ruffels/r076,Ray Ruffels,AUS,1946-03-23,NaN,NaN,right,unknown,NaN
grover-raz-reid/r068,Grover Raz Reid,USA,1951-08-27,NaN,NaN,right,unknown,NaN
julian-ganzabal/g068,Julian Ganzabal,ARG,1946-08-25,NaN,NaN,right,unknown,NaN
john-whitlinger/w051,John Whitlinger,USA,1954-02-04,73,180,right,unknown,NaN
william-brown/b134,William Brown,USA,1945-01-14,NaN,NaN,right,unknown,NaN
anand-amritraj/a021,Anand Amritraj,IND,1952-03-20,77,185,right,unknown,0
steve-krulevitz/k053,Steve Krulevitz,USA,1951-05-30,77,175,right,unknown,1973
hans-joachim-ploetz/p081,Hans-Joachim Ploetz,GER,1944-02-26,NaN,NaN,right,unknown,NaN
fred-mcnair-iv/m146,Fred McNair IV,USA,1950-07-22,77,183,right,unknown,1973
ricardo-cano/c010,Ricardo Cano,ARG,1951-02-26,74,170,right,unknown,NaN
jose-higueras/h019,Jose Higueras,ESP,1953-03-01,75,178,right,unknown,1973
bernard-mitton/m072,Bernard Mitton,RSA,1954-11-09,84,188,right,unknown,NaN
victor-pecci/p015,Victor Pecci,PAR,1955-10-15,86,193,right,unknown,NaN
wojtek-fibak/f020,Wojtek Fibak,POL,1952-08-03,73,183,right,unknown,NaN
ulrich-pinner/p034,Ulrich Pinner,GER,1954-02-07,NaN,NaN,right,unknown,NaN
john-andrews/a062,John Andrews,USA,1952-02-05,0,0,right,unknown,0
jim-delaney/d072,Jim Delaney,USA,1953-03-12,NaN,NaN,right,unknown,NaN
mike-cahill/c075,Mike Cahill,USA,1952-06-17,75,183,right,unknown,1974
graham-stilwell/s147,Graham Stilwell,GBR,1945-11-15,NaN,173,right,unknown,NaN
colin-dowdeswell/d037,Colin Dowdeswell,GBR,1955-05-12,79,185,right,unknown,NaN
harald-elschenbroich/e037,Harald Elschenbroich,GER,1941-06-19,NaN,NaN,right,unknown,NaN
bob-giltinan/g074,Bob Giltinan,AUS,1949-04-07,NaN,NaN,right,unknown,NaN
sashi-menon/m058,Sashi Menon,IND,1952-08-09,73,180,right,unknown,NaN
norman-holmes/h062,Norman Holmes,USA,1949-10-05,NaN,NaN,right,unknown,NaN
nicola--spear/s146,Nicola Spear,SRB,1944-02-22,NaN,NaN,right,unknown,NaN
birger-andersson/a086,Birger Andersson,SWE,1951-03-26,0,0,right,unknown,0
victor-amaya/a044,Victor Amaya,USA,1954-07-02,0,201,left,unknown,0
pat-cramer/c091,Pat Cramer,RSA,1947-03-21,NaN,NaN,right,unknown,NaN
trey-waltke/w045,Trey Waltke,USA,1955-03-16,66,173,right,unknown,NaN
mark-edmondson/e005,Mark Edmondson,AUS,1954-06-28,86,185,right,unknown,NaN
gene-mayer/m038,Gene Mayer,USA,1956-04-11,68,183,right,unknown,NaN
bill-scanlon/s017,Bill Scanlon,USA,1956-11-13,77,185,right,unknown,NaN
byron-bertram/b130,Byron Bertram,RSA,1952-10-29,NaN,NaN,right,unknown,NaN
belus-prajoux/p046,Belus Prajoux,CHI,1955-02-27,68,170,right,unknown,NaN
terry-moor/m081,Terry Moor,USA,1952-04-23,73,178,left,unknown,NaN
james-chico-hagey/h054,James Chico Hagey,USA,1953-02-25,NaN,NaN,right,unknown,NaN
jun-kuki/k054,Jun Kuki,JPN,1945-12-28,NaN,NaN,right,unknown,NaN
butch-walts/w002,Butch Walts,USA,1955-06-04,79,193,right,unknown,NaN
brian-teacher/t011,Brian Teacher,USA,1954-12-23,79,191,right,unknown,NaN
syd-ball/b106,Syd Ball,AUS,1950-01-24,79,188,right,unknown,NaN
mike-machette/m132,Mike Machette,USA,1951-01-27,NaN,NaN,right,unknown,NaN
jean-francois-caujolle/c082,Jean-Francois Caujolle,FRA,1953-03-31,NaN,NaN,left,unknown,NaN
alvaro-betancur/b131,Alvaro Betancur,COL,1950-01-03,NaN,NaN,right,unknown,NaN
pat-dupre/d048,Pat Dupre,USA,1954-09-16,79,191,right,unknown,NaN
john-mcenroe/m047,John McEnroe,USA,1959-02-16,75,180,left,unknown,1978
tim-gullikson/g048,Tim Gullikson,USA,1951-09-08,79,180,right,unknown,NaN
hans-gildemeister/g015,Hans Gildemeister,CHI,1956-02-09,85,180,right,unknown,NaN
peter-fleming/f030,Peter Fleming,USA,1955-01-21,84,196,right,unknown,NaN
henry-pfister/p026,Henry Pfister,USA,1953-10-09,84,193,right,unknown,NaN
mike-fishbach/f092,Mike Fishbach,USA,1954-12-01,70,180,right,unknown,NaN
chris-lewis/l024,Chris Lewis (NZL),NZL,1957-03-09,75,180,right,unknown,NaN
tom-gullikson/g049,Tom Gullikson,USA,1951-09-08,77,180,left,unknown,NaN
nick-saviano/s111,Nick Saviano,USA,1956-06-05,75,180,left,unknown,NaN
cliff-letcher/l062,Cliff Letcher,AUS,1952-02-09,NaN,NaN,right,unknown,NaN
tomas-smid/s058,Tomas Smid,CZE,1956-05-20,79,191,right,unknown,NaN
jiri-granat/g040,Jiri Granat,CZE,1955-01-28,80,185,right,unknown,NaN
keith-richardson/r070,Keith Richardson,USA,1953-08-18,81,185,right,one-handed,1976
richard-lewis/l025,Richard Lewis,GBR,1954-12-06,NaN,NaN,left,unknown,NaN
rick-fagel/f001,Rick Fagel,USA,1953-11-29,70,180,right,unknown,NaN
frank-gebert/g071,Frank Gebert,GER,1952-06-11,NaN,NaN,right,unknown,NaN
eric-deblicker/d063,Eric Deblicker,FRA,1952-04-17,NaN,NaN,right,unknown,NaN
louk-sanders/s136,Louk Sanders,NED,1950-05-09,NaN,NaN,right,unknown,NaN
jose-luis-clerc/c039,Jose-Luis Clerc,ARG,1958-08-16,80,185,right,unknown,NaN
johan-kriek/k022,Johan Kriek,USA,1958-04-05,76,175,right,unknown,1978
angel-gimenez/g017,Angel Gimenez,ESP,1955-10-10,57,163,right,unknown,NaN
eliot-teltscher/t012,Eliot Teltscher,USA,1959-03-15,68,178,right,unknown,1977
peter-feigl/f011,Peter Feigl,AUT,1951-11-30,77,183,right,unknown,NaN
yannick-noah/n022,Yannick Noah,FRA,1960-05-18,82,193,right,unknown,NaN
rolf-gehring/g007,Rolf Gehring,GER,1955-11-25,79,185,right,unknown,NaN
tim-wilkison/w019,Tim Wilkison,USA,1959-11-23,73,180,left,unknown,NaN
heinz-gunthardt/g050,Heinz Gunthardt,SUI,1959-02-08,70,180,right,unknown,NaN
deon-joubert/j021,Deon Joubert,RSA,1953-06-10,NaN,NaN,left,unknown,NaN
francisco-gonzalez/g024,Francisco Gonzalez,PAR,1955-11-19,88,193,right,unknown,NaN
john-marks/m136,John Marks,AUS,1952-12-09,NaN,NaN,right,unknown,NaN
peter-mcnamara/m051,Peter McNamara,AUS,1955-07-05,75,185,right,unknown,NaN
tom-leonard/l061,Tom Leonard,USA,1948-07-15,74,175,right,unknown,NaN
ivan-lendl/l018,Ivan Lendl,USA,1960-03-07,79,188,right,one-handed,1978
jorge-andrew/a061,Jorge Andrew,VEN,1951-11-02,88,511,right,one-handed,NaN
carlos-kirmayr/k009,Carlos Kirmayr,BRA,1950-09-23,68,173,right,unknown,NaN
david-schneider/s115,David Schneider,USA,1955-05-17,86,185,right,unknown,NaN
john-sadri/s005,John Sadri,USA,1956-09-19,82,188,right,unknown,NaN
javier-soler/s064,Javier Soler,ESP,1955-03-25,NaN,NaN,left,unknown,NaN
alvin-gardiner/g070,Alvin Gardiner,AUS,1951-02-11,NaN,NaN,right,unknown,NaN
kevin-curren/c057,Kevin Curren,USA,1958-03-02,77,185,right,unknown,1979
erick-iskersky/i004,Erick Iskersky,USA,1958-01-25,70,180,right,unknown,NaN
john-austin/a053,John Austin,USA,1957-07-31,88,193,right,unknown,0
steve-docherty/d078,Steve Docherty,AUS,1950-05-06,NaN,NaN,right,unknown,NaN
werner-zirngibl/z012,Werner Zirngibl,GER,1956-09-04,NaN,NaN,right,unknown,NaN
gianni-ocleppo/o004,Gianni Ocleppo,ITA,1957-04-06,79,183,right,unknown,NaN
vincent-van-patten/v010,Vincent Van Patten,USA,1957-10-17,73,180,right,unknown,NaN
peter-rennert/r017,Peter Rennert,USA,1958-12-26,78,185,left,unknown,1980
andres-gomez/g023,Andres Gomez,ECU,1960-02-27,84,193,left,unknown,1979
charles-owens/o033,Charles Owens,USA,1950-07-31,NaN,NaN,right,unknown,NaN
ferdi-taygan/t037,Ferdi Taygan,USA,1956-12-05,68,173,right,unknown,1977
dominique-bedel/b030,Dominique Bedel,FRA,1957-02-20,73,185,right,unknown,NaN
jean-louis-haillet/h041,Jean-Louis Haillet,FRA,1954-05-07,NaN,NaN,right,unknown,NaN
brad-drewett/d040,Brad Drewett,AUS,1958-07-19,79,185,left,unknown,NaN
pavel-slozil/s056,Pavel Slozil,CZE,1955-12-29,70,173,right,unknown,NaN
bruce-manson/m014,Bruce Manson,USA,1956-03-20,75,173,left,unknown,1977
fritz-buehning/b079,Fritz Buehning,USA,1960-03-05,91,196,right,unknown,NaN
paul-mcnamee/m050,Paul McNamee,AUS,1954-11-12,73,178,right,unknown,NaN
alejandro-pierola/p030,Alejandro Pierola,CHI,1949-11-20,NaN,NaN,right,unknown,NaN
stanislav-birner/b046,Stanislav Birner,CZE,1956-10-11,66,170,right,unknown,NaN
rod-frawley/f039,Rod Frawley,AUS,1952-09-08,90,180,right,one-handed,NaN
fernando-luna/l043,Fernando Luna,ESP,1958-04-24,68,175,right,unknown,NaN
carlos-gattiker/g005,Carlos Gattiker,ARG,1956-06-06,77,175,right,unknown,NaN
john-james/j029,John James,AUS,1951-03-07,79,183,right,unknown,NaN
michael-grant/g081,Michael Grant,USA,1956-02-03,79,183,right,unknown,NaN
per-hjertquist/h024,Per Hjertquist,SWE,1960-04-06,73,183,right,unknown,NaN
mel-purcell/p057,Mel Purcell,USA,1959-07-18,70,178,right,unknown,NaN
mario-martinez/m026,Mario Martinez,BOL,1961-09-12,66,170,right,unknown,NaN
christophe-roger-vasselin/r037,Christophe Roger-Vasselin,FRA,1957-07-08,75,188,right,unknown,NaN
marcos-hocevar/h026,Marcos Hocevar,BRA,1955-09-25,84,185,right,unknown,NaN
ramesh-krishnan/k024,Ramesh Krishnan,IND,1961-06-05,64,170,right,unknown,1978
pascal-portes/p042,Pascal Portes,FRA,1959-05-28,68,175,right,unknown,NaN
shlomo-glickstein/g019,Shlomo Glickstein,ISR,1958-01-06,93,188,right,unknown,NaN
jose-luis-damiani/d069,Jose Luis Damiani,URU,1956-11-21,82,185,right,unknown,NaN
tony-giammalva/g011,Tony Giammalva,USA,1958-04-21,88,191,right,unknown,NaN
ricardo-ycaza/y007,Ricardo Ycaza,ECU,1958-02-16,73,183,right,unknown,NaN
robert-van't-hof/v008,Robert Van't Hof,USA,1959-04-10,82,193,right,unknown,1980
gustavo-guerrero/g047,Gustavo Guerrero,ARG,1959-10-22,73,180,left,unknown,NaN
christophe-freyss/f042,Christophe Freyss,FRA,1956-08-30,85,183,left,unknown,NaN
rick-meyer/m061,Rick Meyer,USA,1955-09-04,73,183,right,unknown,NaN
van-winitsky/w027,Van Winitsky,USA,1959-03-12,75,185,left,unknown,1978
john-hayes/h010,John Hayes,USA,1955-04-07,91,193,right,unknown,1977
eddie-edwards/e006,Eddie Edwards,RSA,1956-07-03,82,191,right,unknown,NaN
haroon-ismail/i005,Haroon Ismail,ZIM,1955-02-27,67,178,right,unknown,NaN
tim-mayotte/m041,Tim Mayotte,USA,1960-08-03,84,191,right,unknown,NaN
pedro-rebolledo/r012,Pedro Rebolledo,CHI,1960-12-17,68,170,right,unknown,NaN
andreas-maurer/m036,Andreas Maurer,GER,1958-03-08,71,175,right,unknown,NaN
steve-denton/d019,Steve Denton,USA,1956-09-05,82,188,right,unknown,NaN
thierry-tulasne/t032,Thierry Tulasne,FRA,1963-07-12,73,178,right,unknown,NaN
john-fitzgerald/f028,John Fitzgerald,AUS,1960-12-28,77,183,right,unknown,1980
sammy-giammalva-jr./g013,Sammy Giammalva Jr.,USA,1963-03-24,75,178,right,unknown,NaN
joakim-nystrom/n030,Joakim Nystrom,SWE,1963-02-20,70,188,right,unknown,NaN
mats-wilander/w023,Mats Wilander,SWE,1964-08-22,77,183,right,unknown,1981
peter-elter/e013,Peter Elter,GER,1958-06-10,77,178,right,unknown,NaN
jose-lopez-maeso/l039,Jose Lopez-Maeso,ESP,1956-12-24,66,173,right,unknown,NaN
gilles-moretton/m119,Gilles Moretton,FRA,1958-02-10,82,191,right,unknown,NaN
jimmy-arias/a031,Jimmy Arias,USA,1964-08-16,70,175,right,unknown,1980
matt-doyle/d039,Matt Doyle,IRL,1958-01-13,86,193,right,unknown,NaN
pablo-arraya/a035,Pablo Arraya,PER,1961-10-21,73,180,right,unknown,1980
chris-johnstone/j014,Chris Johnstone,AUS,1960-10-12,68,175,right,unknown,NaN
diego-perez/p021,Diego Perez,URU,1962-02-09,75,178,right,unknown,1981
david-carter/c072,David Carter,AUS,1956-04-21,75,183,right,unknown,NaN
anders-jarryd/j006,Anders Jarryd,SWE,1961-07-13,70,180,right,unknown,1980
henri-leconte/l014,Henri Leconte,FRA,1963-07-04,79,185,left,unknown,1980
chip-hooper/h033,Chip Hooper,USA,1958-10-24,95,198,right,unknown,NaN
jay-lapidus/l005,Jay Lapidus,USA,1959-05-01,86,188,left,unknown,1980
mark-dickson/d028,Mark Dickson,USA,1959-12-08,78,191,right,unknown,1982
hans-simonsson/s053,Hans Simonsson,SWE,1962-05-01,70,178,right,unknown,NaN
russell-simpson/s052,Russell Simpson,NZL,1954-02-22,79,188,right,unknown,NaN
henrik-sundstrom/s097,Henrik Sundstrom,SWE,1964-02-29,73,188,right,unknown,NaN
scott-davis/d004,Scott Davis,USA,1962-08-27,77,188,right,unknown,1983
pat-cash/c023,Pat Cash,AUS,1965-05-27,84,183,right,unknown,1982
mike-bauer/b023,Mike Bauer,USA,1959-06-29,84,188,right,unknown,1982
jimmy-brown/b074,Jimmy Brown,USA,1965-04-28,68,180,right,unknown,1981
eric-korita/k019,Eric Korita,USA,1963-01-13,93,196,right,unknown,NaN
roberto-arguello/a030,Roberto Arguello,ARG,1963-05-12,66,173,ambidextrous,unknown,0
stefan-edberg/e004,Stefan Edberg,SWE,1966-01-19,77,188,right,unknown,1983
libor-pimek/p032,Libor Pimek,BEL,1963-08-03,82,196,right,unknown,1982
stefan-simonsson/s051,Stefan Simonsson,SWE,1960-01-05,73,175,right,unknown,NaN
brad-gilbert/g016,Brad Gilbert,USA,1961-08-09,79,185,right,unknown,1982
thomas-hogstedt/h029,Thomas Hogstedt,SWE,1963-09-21,77,191,right,unknown,1981
juan-aguilera/a007,Juan Aguilera,ESP,1962-03-22,68,183,right,unknown,NaN
nduka-odizor/o006,Nduka Odizor,NGR,1958-08-09,75,183,right,unknown,NaN
wally-masur/m030,Wally Masur,AUS,1963-05-13,76,180,right,unknown,1982
claudio-panatta/p008,Claudio Panatta,ITA,1960-02-02,77,178,right,unknown,NaN
francesco-cancellotti/c013,Francesco Cancellotti,ITA,1963-02-27,75,183,right,unknown,NaN
sergio-casal/c024,Sergio Casal,ESP,1962-09-08,77,185,right,unknown,1981
eric-fromm/f047,Eric Fromm,USA,1958-06-27,77,178,right,unknown,NaN
glenn-michibata/m064,Glenn Michibata,CAN,1962-06-13,73,175,right,unknown,1983
cassio-motta/m092,Cassio Motta,BRA,1960-02-22,79,180,right,unknown,1979
florin-segarceanu/s033,Florin Segarceanu,ROU,1961-03-29,66,180,right,unknown,NaN
marty-davis/d005,Marty Davis,USA,1958-11-15,82,183,right,unknown,1980
roland-stadler/s077,Roland Stadler,SUI,1959-06-14,70,178,ambidextrous,unknown,NaN
zoltan-kuharszky/k031,Zoltan Kuharszky,HUN,1959-07-08,75,183,right,unknown,NaN
steve-meister/m056,Steve Meister,USA,1958-04-21,82,193,right,one-handed,1980
bernard-boileau/b054,Bernard Boileau,BEL,1959-05-25,75,185,right,unknown,NaN
mike-de-palmer/d021,Mike De Palmer,USA,1961-10-17,79,185,left,unknown,NaN
aaron-krickstein/k023,Aaron Krickstein,USA,1967-08-02,73,183,right,two-handed,1983
marko-ostoja/o025,Marko Ostoja,CRO,1960-10-20,70,175,right,unknown,NaN
jan-gunnarsson/g053,Jan Gunnarsson,SWE,1962-05-30,80,185,right,unknown,NaN
miloslav-mecir-sr./m052,Miloslav Mecir Sr.,SVK,1964-05-19,82,191,right,unknown,NaN
ben-testerman/t014,Ben Testerman,USA,1962-02-02,82,185,left,unknown,NaN
david-pate/p012,David Pate,USA,1962-04-16,77,183,right,unknown,1983
guy-forget/f035,Guy Forget,FRA,1965-01-04,80,191,left,unknown,1982
bob-green/g043,Bob Green,USA,1960-03-25,82,193,right,unknown,NaN
matt-mitchell/m071,Matt Mitchell,USA,1957-03-16,73,180,right,unknown,NaN
martin-jaite/j004,Martin Jaite,ARG,1964-10-09,70,178,right,unknown,1983
greg-holmes/h030,Greg Holmes,USA,1963-08-29,73,178,right,unknown,NaN
leif-shiras/s045,Leif Shiras,USA,1959-08-21,77,183,right,unknown,1981
alejandro-ganzabal/g001,Alejandro Ganzabal,ARG,1960-02-16,73,180,right,unknown,NaN
boris-becker/b028,Boris Becker,GER,1967-11-22,85,191,right,unknown,1984
